,Medical School,Average GPA,Average MCAT Score
161,University of Pikeville Kentucky College of Osteopathic Medicine,3.5,500
162,University of Pittsburgh School of Medicine,3.83,516
163,University of Puerto Rico School of Medicine,3.86,506
164,University of Rochester School of Medicine and Dentistry,3.7,514
165,University of South Alabama College of Medicine,3.83,510
166,University of South Carolina School of Medicine – Columbia,3.71,508
167,University of South Carolina School of Medicine – Greenville,3.7-3.75,509
168,University of South Dakota Sanford School of Medicine,3.82,508
169,University of South Florida Health Morsani College of Medicine,3.89,518
170,University of Southern California Keck School of Medicine,3.8,517
171,University of Tennessee Health Science Center College of Medicine,3.89,512
172,University of Texas at Austin Dell Medical School,3.78,514
173,University of Texas McGovern Medical School at Houston,3.81,511
174,University of Texas Medical Branch School of Medicine,3.8,510
175,University of Texas Rio Grande Valley School of Medicine,3.69,508
176,University of Texas School of Medicine at San Antonio,3.87,517.6
177,University of Texas Southwestern Medical School,3.83,517
178,University of the Incarnate Word School of Osteopathic Medicine,3.61,502
179,University of Utah School of Medicine,3.87,514
180,University of Virginia School of Medicine,3.86,518.58
181,University of Washington School of Medicine,3.75,511
182,University of Wisconsin School of Medicine and Public Health,3.73,511
183,Vanderbilt University School of Medicine,3.95,521
184,Virginia Commonwealth University School of Medicine,3.7,512
185,Virginia Tech Carilion School of Medicine and Research Institute,3.6,512
186,Wake Forest School of Medicine,3.67,512
187,Washington State University Elson S. Floyd College of Medicine,3.55,507.4
188,Washington University School of Medicine,3.87,520.3
189,Wayne State University School of Medicine,3.8,514
190,Weill Cornell Medical College,3.91,519
191,West Virginia School of Osteopathic Medicine,3.54,502
192,West Virginia University School of Medicine,3.75,511
193,Western Michigan University School of Medicine,3.77,513
194,Western University of Heath Sciences College of Osteopathic Medicine of the Pacific,3.65,508
195,William Carey University College of Osteopathic Medicine,3.4,500
196,Wright State University Boonshoft School of Medicine,3.6,507
197,Yale School of Medicine,3.93,521
